School District,School Name,School Address,City Town,Zip,Type of school,Total Enrolled,Total HBV,% HBV,Total Polio,% Polio,Total MMR,% MMR,Total HBV2,% HBV2,Total VZV,% Varicella,Total 7-12 Enrolled,Total Tdap,% TDaP,Total MCV*,% MCV*
Propel Braddock Hills,Propel Braddock Hills,1500 Yost Blvd,Braddock Hills,15221,Charter,850,832,97.9%,833,98.0%,834,98.1%,835,98.2%,834,98.1%,432,423,97.9%,422,97.7%
Propel Hazelwood,Propel Hazelwood ,5401 Glenwood Avenue ,Pittsburgh,15207,Charter,273,265,97.1%,263,96.3%,262,96.0%,265,97.1%,261,95.6%,63,58,92.1%,58,92.1%
Propel Northside,Propel,1805 Buena Vista St.,Pittsburgh,15212,Charter,401,400,99.8%,398,99.3%,400,99.8%,400,99.8%,398,99.3%,94,93,98.9%,93,98.9%
Propel Schools,Propel McKeesport,2412 Versailles Avenue,McKeesport,15132,Charter,345,343,99.4%,342,99.1%,343,99.4%,343,99.4%,341,98.8%,71,70,98.6%,70,98.6%
Providence Heights Alpha,Providence Heights Alpha School,"9000 Babcock Boulevard
",Allison Park,15101,Parochial/Religious,133,131,98.5%,130,97.7%,132,99.2%,131,98.5%,131,98.5%,30,30,100.0%,30,100.0%
Quaker Valley ,Edgeworth Elementary,200 Meadow Lane,Sewickley,15143,Public,410,404,98.5%,400,97.6%,402,98.0%,403,98.3%,401,97.8%,0,0,,0,
Quaker Valley ,Osborne Elementary,1414 Beaver St.,Sewickley,15143,Public,401,396,98.8%,396,98.8%,395,98.5%,396,98.8%,395,98.5%,0,0,,0,
Quaker Valley ,Quaker Valley High School,625 Beaver Street,Leetsdale ,15056,Public,601,588,97.8%,584,97.2%,587,97.7%,588,97.8%,587,97.7%,601,584,97.2%,584,97.2%
Quaker Valley ,Quaker Valley Middle School,618 Harbaugh Street,Sewickley,15143,Public,444,438,98.6%,437,98.4%,434,97.7%,437,98.4%,438,98.6%,290,283,97.6%,282,97.2%
Riverview ,Riverview Jr/Sr High School,100 Hulton Road,Oakmont,15139,Public,405,401,99.0%,400,98.8%,397,98.0%,396,97.8%,397,98.0%,405,390,96.3%,379,93.6%
Riverview ,Tenth Street Elementary,901 Pennsylvania Avenue,Oakmont,15139,Public,335,330,98.5%,328,97.9%,330,98.5%,326,97.3%,327,97.6%,0,0,,0,
Riverview ,Verner Elementary,700 First St,Verona,15147,Public,177,174,98.3%,172,97.2%,173,97.7%,176,99.4%,172,97.2%,0,0,,0,
Robinson Township Christian School,Robinson Township Christian School,"77 Phillips Lane
",McKees Rocks,15136,Parochial/Religious,74,65,87.8%,65,87.8%,63,85.1%,65,87.8%,61,82.4%,23,22,95.7%,22,95.7%
Seton La Salle High School,Seton La Salle High School,1000 McNeilly Road,Pittsburgh,15226,Parochial/Religious,401,387,96.5%,387,96.5%,387,96.5%,387,96.5%,387,96.5%,401,387,96.5%,387,96.5%
Sewickley Academy,Sewickley Academy,315 Academy Avenue,Sewickley,15143,Private/Independent,515,511,99.2%,508,98.6%,510,99.0%,511,99.2%,510,99.0%,315,310,98.4%,308,97.8%
shady side academy,Shady Side Academy at Country Day School,400 Christ Church Lane,Pittsburgh,15238,Private/Independent,120,118,98.3%,116,96.7%,117,97.5%,118,98.3%,117,97.5%,0,0,,0,
Shady Side Academy JS,Shady Side Academy - Junior,400 Braddock Avenue,Pittsburgh,15221,Private/Independent,256,255,99.6%,254,99.2%,256,100.0%,255,99.6%,254,99.2%,0,0,,0,
Shaler Area ,Burchfield Primary,1500 Burchfield Road,Allison Park,15101,Public,358,343,95.8%,344,96.1%,346,96.6%,348,97.2%,345,96.4%,0,0,,0,
Shaler Area ,Marzolf Primary School,101 Marzolf Road Ext,Pittsburgh,15209,Public,303,293,96.7%,295,97.4%,293,96.7%,298,98.3%,293,96.7%,0,0,,0,
Shaler Area ,Reserve Primary School,2107 Lonsdale Street,Pittsburgh,15212,Public,144,143,99.3%,143,99.3%,143,99.3%,143,99.3%,143,99.3%,0,0,,0,
Shaler Area ,Scott Primary,"705 Scott Avenue
",Glenshaw,15116,Public,375,365,97.3%,364,97.1%,364,97.1%,363,96.8%,363,96.8%,0,0,,0,
Shaler Area ,Shaler Area Elementary,700 Scott Ave.,Glenshaw,15116,Public,869,857,98.6%,855,98.4%,857,98.6%,857,98.6%,856,98.5%,0,0,,0,
Shaler Area ,Shaler Area High School,381 Wible Run Rd.,Pittsburgh,15209,Public,1241,1229,99.0%,1227,98.9%,1227,98.9%,1232,99.3%,1225,98.7%,1241,1223,98.5%,1215,97.9%
Shaler Area ,Shaler Area Middle School,1810 Mt. Royal Blvd,Glenshaw,15116,Public,589,578,98.1%,578,98.1%,577,98.0%,578,98.1%,577,98.0%,589,577,98.0%,575,97.6%
Sister Thea Bowman Catholic Academy,Sister Thea Bowman Catholic Academy,721 Rebecca Avenue,Wilkinsburg,15221,Parochial/Religious,155,153,98.7%,152,98.1%,153,98.7%,136,87.7%,153,98.7%,39,37,94.9%,37,94.9%
South Allegheny ,South Allegheny Elementary,"1707 Washington Blvd.
",McKeesport,15133,Public,606,585,96.5%,586,96.7%,587,96.9%,588,97.0%,584,96.4%,0,0,,0,
South Allegheny ,South Allegheny Middle/High School,2743 Washington Blvd.,McKeesport,15133,Public,811,806,99.4%,805,99.3%,807,99.5%,802,98.9%,808,99.6%,710,704,99.2%,703,99.0%
South Fayette Township ,South Fayette Elementary,3620 Old Oakdale Road ,McDonald ,15057,Public,721,706,97.9%,705,97.8%,707,98.1%,707,98.1%,707,98.1%,0,0,,0,
South Fayette Township ,South Fayette High School,"3640 Old Oakdale Rd 
",McDonald,15057,Public,1088,1056,97.1%,1042,95.8%,1063,97.7%,1052,96.7%,1046,96.1%,1088,1065,97.9%,1060,97.4%
South Fayette Township ,South Fayette Intermediate School,1200 Lt. Will Way,McDonald,15057,Public,805,798,99.1%,801,99.5%,798,99.1%,793,98.5%,791,98.3%,0,0,,0,
South Fayette Township ,South Fayette Middle School,3700 Old Oakdale Rd,McDonald,15057,Public,822,805,97.9%,814,99.0%,808,98.3%,810,98.5%,806,98.1%,542,537,99.1%,533,98.3%
South Hills catholic Academy,South Hills Catholic Academy,550 Sleepy Hollow Road,Pittsburgh,15228,Parochial/Religious,267,243,91.0%,243,91.0%,245,91.8%,245,91.8%,244,91.4%,44,43,97.7%,43,97.7%
South Park ,South Park Elementary Center,2001 Eagle Pride Lane,South Park,15129,Public,699,691,98.9%,691,98.9%,692,99.0%,692,99.0%,692,99.0%,0,0,,0,
South Park ,South Park High School,2005 Eagle Ridge Rd ,South Park,15129,Public,563,559,99.3%,560,99.5%,557,98.9%,557,98.9%,557,98.9%,563,561,99.6%,558,99.1%
South Park ,South Park Middle School,2500 Stewart Rd,South Park,15129,Public,547,539,98.5%,540,98.7%,541,98.9%,541,98.9%,539,98.5%,285,281,98.6%,281,98.6%
Spectrum Charter School,Spectrum Charter School,4369 Northern Pike,Monroeville  ,15146,Charter,37,36,97.3%,36,97.3%,35,94.6%,37,100.0%,36,97.3%,37,36,97.3%,36,97.3%
St. James,Saint James School,201 Broad Street,Sewickley,15143,Parochial/Religious,141,141,100.0%,147,104.3%,140,99.3%,140,99.3%,140,99.3%,39,32,82.1%,30,76.9%
Steel Valley ,Barrett Elementary,221 East 12th Ave,Homestead,15120,Public,212,202,95.3%,204,96.2%,203,95.8%,207,97.6%,202,95.3%,0,0,,0,
Steel Valley ,Park Elementary,4102 Main Street,Munhall,15120,Public,325,321,98.8%,322,99.1%,322,99.1%,322,99.1%,322,99.1%,0,0,,0,
Steel Valley ,St. Therese,3 St Therese Ct,Munhall,15120,Parochial/Religious,246,241,98.0%,241,98.0%,241,98.0%,241,98.0%,241,98.0%,55,52,94.5%,52,94.5%
Steel Valley ,Steel Valley High School,3113 Main  Street,Munhall,15120,Public,402,398,99.0%,398,99.0%,397,98.8%,398,99.0%,397,98.8%,402,394,98.0%,382,95.0%
Steel Valley ,Steel Valley Middle School,"3114 Main Street 
",Munhall,15120,Public,395,389,98.5%,389,98.5%,388,98.2%,389,98.5%,389,98.5%,181,175,96.7%,174,96.1%
The Children's Institute-- The Day School,The Children's Institute Day School,"1405 Shady Avenue
",Pittsburgh,15217,Private/Independent,188,165,87.8%,161,85.6%,161,85.6%,182,96.8%,163,86.7%,141,120,85.1%,113,80.1%
The Watson Institute,Friendship Academy,255 South Negley Ave,Pittsburgh,15206,Private/Independent,85,84,98.8%,84,98.8%,84,98.8%,84,98.8%,84,98.8%,51,51,100.0%,51,100.0%
The Watson Institute,Watson Institute Social Center for Academic Achievement,200 Linden Ave,Sharpsburg,15215,Private/Independent,29,29,100.0%,29,100.0%,29,100.0%,29,100.0%,29,100.0%,21,21,100.0%,21,100.0%
Turner Elementary School,Wilkinsburg Borough ,1833 Laketon Road,Wilkinsburg,15221,Public,309,309,100.0%,309,100.0%,309,100.0%,309,100.0%,309,100.0%,0,0,,0,
Upper St. Clair,Saint Louise de Marillac School,310 McMurray Road,Upper St. Clair,15241,Parochial/Religious,504,487,96.6%,485,96.2%,485,96.2%,489,97.0%,483,95.8%,113,110,97.3%,108,95.6%
Upper St. Clair Township ,Baker Elementary,2300 Morton Road,Upper St. Clair ,15241,Public,448,439,98.0%,435,97.1%,436,97.3%,438,97.8%,437,97.5%,0,0,,0,
Upper St. Clair Township ,Boyce Middle School,1500 Boyce Road,Upper St. Clair,15241,Public,593,586,98.8%,583,98.3%,584,98.5%,584,98.5%,584,98.5%,0,0,,0,
Upper St. Clair Township ,Eisenhower Elementary,100 Warwick,Pittsburgh,15241,Public,523,505,96.6%,505,96.6%,505,96.6%,505,96.6%,505,96.6%,0,0,,0,
Upper St. Clair Township ,Fort Couch Middle School,515 Fort Couch Road,Pittsburgh,15241,Public,591,579,98.0%,574,97.1%,576,97.5%,574,97.1%,579,98.0%,591,581,98.3%,580,98.1%
Upper St. Clair Township ,Streams Elementary,"1560 Ashlawn Dr.
",Pittsburgh,15241,Public,434,433,99.8%,432,99.5%,432,99.5%,431,99.3%,432,99.5%,0,0,,0,
Upper St. Clair Township ,Upper St. Clair High School,1825 McLaughlin Run Road,Pittsburgh,15241,Public,1312,1300,99.1%,1295,98.7%,1298,98.9%,1284,97.9%,1274,97.1%,1312,1295,98.7%,1290,98.3%
Urban Pathways k-5 College Charter School,Urban Pathways K-5 College Charter School,925 Penn Ave,Pittsburgh,15222,Charter,301,283,94.0%,284,94.4%,284,94.4%,290,96.3%,284,94.4%,0,0,,0,
Walnut Grove Christian School,Walnut Grove Christian School,44 Adams Avenue,West Mifflin,15122,Parochial/Religious,86,76,88.4%,76,88.4%,74,86.0%,78,90.7%,74,86.0%,0,0,,0,
Wesley High School,Wesley Spectrum High School,5250 Caste Drive,Pittsburgh,15236,Private/Independent,73,73,100.0%,72,98.6%,72,98.6%,73,100.0%,72,98.6%,73,73,100.0%,72,98.6%
Wesley K-8,Wesley Spectrum K-8,243 Johnston Road,Pittsburgh,15241,Private/Independent,59,58,98.3%,58,98.3%,58,98.3%,59,100.0%,58,98.3%,21,20,95.2%,20,95.2%
West Allegheny ,Donaldson Elementary,600 Donaldson Rd,Oakdale,15071,Public,600,585,97.5%,585,97.5%,584,97.3%,586,97.7%,582,97.0%,0,0,,0,
West Allegheny ,McKee Elementary,1501 Oakdale rd,Oakdale,15071,Public,459,456,99.3%,455,99.1%,456,99.3%,458,99.8%,454,98.9%,0,0,,0,
West Allegheny ,West Allegheny High School,205 West Allegheny Road,Imperial,15126,Public,1015,995,98.0%,995,98.0%,997,98.2%,996,98.1%,997,98.2%,1015,994,97.9%,989,97.4%
West Allegheny ,West Allegheny Middle School,207 West Allegheny Road,Imperial,15126,Public,788,773,98.1%,767,97.3%,767,97.3%,771,97.8%,768,97.5%,513,499,97.3%,499,97.3%
West Allegheny ,Wilson Elementary,100 Bruno Lane,Imperial,15126,Public,487,473,97.1%,473,97.1%,473,97.1%,476,97.7%,472,96.9%,0,0,,0,
West Jefferson Hills ,Gill Hall Elementary,829 Gill Hall Road,Jefferson Hills,15025,Public,375,374,99.7%,373,99.5%,374,99.7%,373,99.5%,374,99.7%,0,0,,0,
West Jefferson Hills ,Jefferson Hills Intermediate School,875 Old Clairton Road,Jefferson Hills,15025,Public,760,756,99.5%,756,99.5%,753,99.1%,753,99.1%,751,98.8%,0,0,,0,
West Jefferson Hills ,McClellan Elementary,360 School Lane,Pittsburgh,15236,Public,399,395,99.0%,395,99.0%,397,99.5%,396,99.2%,397,99.5%,0,0,,0,
West Jefferson Hills ,Pleasant Hills Middle School,404 Old Clairton Road,Pittsburgh,15236,Public,783,776,99.1%,776,99.1%,774,98.9%,771,98.5%,773,98.7%,493,489,99.2%,489,99.2%
West Jefferson Hills ,Thomas Jefferson High School,830 Old Clairton Road ,Jefferson Hills,15025,Public,937,928,99.0%,928,99.0%,929,99.1%,926,98.8%,929,99.1%,937,927,98.9%,928,99.0%
West Mifflin Area ,Clara Barton Elementary School,764 Beverly Drive,West Mifflin,15122,Public,226,222,98.2%,222,98.2%,222,98.2%,221,97.8%,222,98.2%,0,0,,0,
West Mifflin Area ,Cornerstone Prep-Wilson Campus,1900 Clairton Road,West Mifflin,15122,Parochial/Religious,227,188,82.8%,184,81.1%,187,82.4%,196,86.3%,186,81.9%,124,100,80.6%,100,80.6%
West Mifflin Area ,Homeville Elementary,4315 Eliza Street,West Mifflin,15122,Public,425,410,96.5%,411,96.7%,412,96.9%,413,97.2%,411,96.7%,0,0,,0,
West Mifflin Area ,West Mifflin Area High School,"91 Commonwealth Ave.


",West Mifflin,15122,Public,922,911,98.8%,908,98.5%,911,98.8%,911,98.8%,910,98.7%,922,907,98.4%,858,93.1%
West Mifflin Area ,West Mifflin Middle School,81 Commonwealth Ave,West Mifflin,15122,Public,908,890,98.0%,889,97.9%,891,98.1%,890,98.0%,891,98.1%,420,403,96.0%,403,96.0%
Western Pennsylvania School for Deaf,Western Pennsylvania School for the Deaf,300 East Swissvale Avenue,Pittsburgh,15218,Private/Independent,156,153,98.1%,153,98.1%,150,96.2%,154,98.7%,150,96.2%,86,82,95.3%,82,95.3%
Westinghouse Arts Academy,Westinghouse Arts Academy Charter,320 Marguerite Ave,Wilmerding,15148,Charter,309,291,94.2%,278,90.0%,291,94.2%,289,93.5%,285,92.2%,309,285,92.2%,286,92.6%
Westminster Nursery School,Westminster Child Development Center,2040 washington rd,Pittsburgh,15241,Private/Independent,10,10,100.0%,10,100.0%,10,100.0%,10,100.0%,10,100.0%,0,0,,0,
Wilkinsburg Borough ,Kelly Elementary,400 Kelly Avenue,Wilkinsburg,15221,Public,148,136,91.9%,136,91.9%,135,91.2%,136,91.9%,135,91.2%,0,0,,0,
Woodland Hills,Dixon Prep STEAM Academy,7301 Schoyer Ave.,Swissvale,15218,Public,730,721,98.8%,720,98.6%,721,98.8%,721,98.8%,721,98.8%,470,422,89.8%,421,89.6%
Woodland Hills,Edgewood Elementary STEAM Academy,"241 Maple Ave
",Pittsburgh,15218,Public,508,491,96.7%,488,96.1%,488,96.1%,493,97.0%,488,96.1%,0,0,,0,
Woodland Hills,Propel East,1611 Monroeville Avenue,Turtle Creek,15145,Charter,359,356,99.2%,353,98.3%,353,98.3%,356,99.2%,353,98.3%,81,75,92.6%,75,92.6%
Woodland Hills,Trinity Christian,299 Ridge Ave,Pittsburgh,15221,Parochial/Religious,371,349,94.1%,349,94.1%,349,94.1%,349,94.1%,349,94.1%,177,166,93.8%,166,93.8%
Woodland Hills,Turtle Creek Elementary Steam Academy,126 Monroeville Ave,Turtle Creek,15145,Public,508,502,98.8%,502,98.8%,502,98.8%,502,98.8%,501,98.6%,0,0,,0,
Woodland Hills,Universal Academy,2103 Hampton Ave,Swissvale,15218,Parochial/Religious,111,67,60.4%,67,60.4%,67,60.4%,67,60.4%,67,60.4%,15,11,73.3%,11,73.3%
Woodland Hills,Wilkins Primary,362 Churchill Road,Pittsburgh,15235,Public,417,405,97.1%,400,95.9%,405,97.1%,407,97.6%,403,96.6%,0,0,,0,
Woodland Hills,Woodland Hills High School,2550 Greensburg Pike,Pittsburgh ,15221,Public,1000,972,97.2%,977,97.7%,979,97.9%,977,97.7%,975,97.5%,1000,989,98.9%,960,96.0%
Young Scholars of Greater Allegheny,Young Scholars of Greater Allegheny,"10 Center Street
",McKeesport,15132,Charter,291,283,97.3%,283,97.3%,283,97.3%,285,97.9%,283,97.3%,31,27,87.1%,27,87.1%
young scholars of wpa charter school,young scholars of wpa charter school,600 newport drive,pittsburgh,15234,Charter,320,314,98.1%,314,98.1%,314,98.1%,314,98.1%,314,98.1%,58,58,100.0%,58,100.0%
,,,,,,,,,,,,,,,,,,,,,
